title,authors,publication_year,num_pages,average_rating
A False Mirror (Inspector Ian Rutledge  #9),Charles Todd,2007,384,4.02
Wings of Fire (Inspector Ian Rutledge  #2),Charles Todd,1999,323,3.99
A Cold Treachery (Inspector Ian Rutledge  #7),Charles Todd,2005,416,4.15
The Murder Stone,Charles Todd,2004,416,3.83
Legacy of the Dead (Inspector Ian Rutledge  #4),Charles Todd,2001,356,4.15
A Fearsome Doubt (Inspector Ian Rutledge  #6),Charles Todd,2003,384,4.04
Watchers of Time (Inspector Ian Rutledge  #5),Charles Todd,2002,421,3.99
Search the Dark (Inspector Ian Rutledge  #3),Charles Todd,2000,310,4.01
Bill Bryson's African Diary,Bill Bryson,2002,63,3.44
Hunters of Dune (Dune Chronicles  #7),Brian Herbert/Kevin J. Anderson,2006,524,3.65
The Battle Of Corrin (Legends of Dune  #3),Brian Herbert/Kevin J. Anderson,2004,624,3.74
House Corrino (Prelude to Dune #3),Brian Herbert/Kevin J. Anderson,2002,667,3.68
House Harkonnen (Prelude to Dune #2),Brian Herbert/Kevin J. Anderson,2001,733,3.67
Doctor Who: The Inside Story,Gary Russell,2006,256,4.22
Doctor Who Short Trips: Repercussions,Gary Russell/Peter Anghelides/J. Shaun Lyon/Jon de Burgh Miller/Eddie Robson/Todd Green/Andy Russell/Andrew Collins/Kathryn Sullivan/Iain McLaughlin/Mark Michalowski/Joseph Lidster/Trevor Baxendale/Colin Brake/Claire Bartlett/Sarah Groenewegen/Trey Korte/Andy Frankham-Allen,2004,246,3.38
Gerontius,James Hamilton-Paterson,2002,272,3.74
Hellstrom's Hive,Frank Herbert,1982,312,3.69
The Dark City (Eliot Ness  #1),Max Allan Collins,2005,233,3.88
Bullet Proof (Eliot Ness  #3),Max Allan Collins,2005,197,3.98
The Penguin Companion to European Literature,Anthony Thorlby,1969,907,4.5
West To Eden,Gloria Goldreich,1988,501,3.77
The Various,Steve Augarde,2005,448,3.71
Truman Capote: In Which Various Friends  Enemies  Acquaintances  and Detractors Recall His Turbulent Career,George Plimpton,1998,498,4.08
The Burnt Orange Heresy,Charles Willeford,1999,144,3.9
Ewan McGregor: From Junkie to Jedi,Brian J. Robb,1999,144,2.8
Shadow Twin,Gardner Dozois/George R.R. Martin/Daniel Abraham,2005,114,3.57
Der Prophet,Kahlil Gibran,2001,95,4.23
Le prophète,Kahlil Gibran,2002,172,4.23
The Complete Stories of Robert Louis Stevenson: Strange Case of Dr. Jekyll and Mr. Hyde and Nineteen Other Tales,Robert Louis Stevenson/Barry Menikoff,2002,818,4.13
The Complete Short Stories Of Robert Louis Stevenson: With A Selection Of The Best Short Novels,Robert Louis Stevenson/Charles Neider,1998,720,4.21
A Child's Garden of Verses,Robert Louis Stevenson/Tasha Tudor,1999,67,4.3
Have Space Suit—Will Travel,Robert A. Heinlein,2005,276,3.9
Practicalities,Marguerite Duras/Barbara Bray,1993,143,3.98
Le ravissement de Lol V. Stein,Marguerite Duras,1976,192,3.66
India Song,Marguerite Duras/Barbara Bray,1994,146,3.57
Clown,Quentin Blake,1998,32,3.98
The Spiral Stair (Arabel and Mortimer  #6),Joan Aiken/Quentin Blake,2000,62,4.33
A Near Thing for Captain Najork (Captain Najork #2),Russell Hoban/Quentin Blake,2006,32,4.18
Cover Her Face (Adam Dalgliesh #1),P.D. James/Neville Teller/Robin Ellis/Sian Phillips/Hugh Grant,2002,2,3.93
Reptiles and Amphibians (Smithsonian Handbooks),Mark O'Shea/Tim Halliday/Jonathan Metcalf,2002,256,4.0
The Camera (Ansel Adams Photography  #1),Ansel Adams/Robert Hardy Baker,1995,195,4.16
The Negative (Ansel Adams Photography  #2),Ansel Adams/Robert Hardy Baker,1995,265,4.4
The Print (Ansel Adams Photography  #3),Ansel Adams/Robert Hardy Baker,1995,203,4.37
The Changing Status of the Artist,Emma Barker/Nick Webb/Kim W. Woods,1999,260,3.93
Vicars of Christ: A History of the Popes,Charles A. Coulombe,2003,492,3.94
The Big Bing: Black Holes of Time Management  Gaseous Executive Bodies  Exploding Careers  and Other Theories on the Origins of the Business Universe,Stanley Bing,2006,368,3.11
What Would Machiavelli Do?: The Ends Justify the Meanness,Stanley Bing,2004,176,3.45
William James: In the Maelstrom of American Modernism,Robert D. Richardson Jr.,2006,622,4.25
Cliffs Notes on Wright's Black Boy,Carl Senna/CliffsNotes/Richard Wright,1971,56,3.75
The Wit and Wisdom of Abraham Lincoln: A Book of Quotations,Abraham Lincoln/Bob Blaisdell,2005,96,4.15
Speeches and Writings 1832–1858,Abraham Lincoln/Don E. Fehrenbacher,1989,898,4.36
Selected Speeches and Writings,Abraham Lincoln/Gore Vidal,1992,515,4.22
George Eliot: The Last Victorian,Kathryn  Hughes,2001,416,4.05
The Mill on the Floss,George Eliot/A.S. Byatt,2003,579,3.79
Scenes of Clerical Life,George Eliot/Thomas A. Noble,2002,310,3.78
Terry Jones' Medieval Lives,Terry Jones/Alan Ereira,2005,240,4.02
Terry Jones' Fairy Tales,Terry Jones/Michael Foreman,1993,160,4.25
Some Ether,Nick Flynn,2000,85,4.16
Tin House: Evil (Volume 8 no. 3),Chris Adrian/Nick Flynn/Francine Prose/Josip Novakovich/Moonshine,2007,224,3.9
A Note Slipped Under the Door: Teaching from Poems We Love,Nick Flynn/Shirley McPhillips/Philippa Stratton,2000,256,4.12
The Trouble with Testosterone and Other Essays on the Biology of the Human Predicament,Robert M. Sapolsky,1998,288,4.11
Monkeyluv: And Other Essays on Our Lives as Animals,Robert M. Sapolsky,2006,209,4.17
Literary Criticism  Vol. 1: Essays on Literature / American Writers / English Writers,Henry James/Leon Edel/Mark Wilson,1984,1504,4.26
Advanced Statistics Demystified,Larry J. Stephens,2004,324,4.0
Lilly's Big Day,Kevin Henkes,2006,40,4.2
Chester's Way,Kevin Henkes,1997,32,4.22
Julius  the Baby of the World,Kevin Henkes,1995,32,4.28
Forms of Talk,Erving Goffman,1981,344,3.81
Interaction Ritual - Essays on Face-to-Face Behavior,Erving Goffman,1982,288,4.05
Study Bible: NIV,Anonymous,2002,2198,4.7
My Lord Eternity (Immortal Rogues  #2),Debbie Raleigh/Alexandra Ivy,2003,256,3.73
Aesop's Fables,Aesop/Ann McGovern,1963,80,4.05
Once A Wolf: How Wildlife Biologists Fought to Bring Back the Gray Wolf,Stephen R. Swinburne/Jim Brandenburg,2001,48,4.06
Conversations with Don DeLillo,Don DeLillo/Thomas DePietro,2005,183,4.06
Inventing America: Jefferson's Declaration of Independence,Garry Wills,2002,432,3.93
Lincoln at Gettysburg: The Words That Remade America,Garry Wills,2006,320,4.14
Venice: Lion City: The Religion of Empire,Garry Wills,2002,416,3.76
Four Weddings and a Funeral,Richard Curtis,1996,128,3.75
Halloween,Richard Curtis,1982,166,4.13
Janet  My Mother and Me: A Memoir of Growing Up with Janet Flanner and Natalia Danesi Murray,William Murray,2000,320,3.5
Catch That Pass!,Matt Christopher,1989,130,3.91
Divide and Conquer (Tom Clancy's Op-Center  #7),Jeff Rovin/Tom Clancy/Steve Pieczenik,2000,372,3.8
Death Match (Tom Clancy's Net Force Explorers  #18),Diane Duane/Tom Clancy/Steve Pieczenik,2003,192,4.17
Line of Control (Tom Clancy's Op-Center  #8),Jeff Rovin/Tom Clancy/Steve Pieczenik,2001,384,3.86
Sea of Fire (Tom Clancy's Op-Center  #10),Jeff Rovin/Tom Clancy/Steve Pieczenik,2003,400,3.89
One is the Loneliest Number (Tom Clancy's Net Force Explorers  #3),Diane Duane/Tom Clancy/Steve Pieczenik,1999,182,3.95
Aliens: Nightmare Asylum,Steve Perry,1993,277,3.67
The Omega Cage (Matador  #4),Steve Perry/Michael Reaves,1988,256,3.78
The 97th Step (Matador  #5),Steve Perry,1989,304,4.22
A Friar's Bloodfeud (Knights Templar  #20),Michael Jecks,2006,500,4.1
Death Ship of Dartmouth (Knights Templar  #21),Michael Jecks,2006,352,4.06
The John Deere Two-Cylinder Tractor Encyclopedia: The Complete Model-by-Model History,Don Macmillan/Wayne G. Broehl Jr.,2007,256,4.75
Phantoms,Rosalind M. Greenberg,1989,270,3.38
Fantasy Gone Wrong,Martin H. Greenberg/Brittiany A. Koren/Brian Stableford/Mickey Zucker Reichert/Fiona Patton/Jim C. Hines/Esther M. Friesner/Donald J. Bingle/Alan Dean Foster/Devon Monk/Phaedra M. Weldon/Christina F. York/Jana Paniccia/Josepha Sherman/Susan Sizemore/Michael Jasper/Janny Wurts/Lisanne Norman,2006,309,3.45
The Ghosts in Baker Street: New Tales of Sherlock Holmes,Martin H. Greenberg/Daniel Stashower,2006,320,3.58
Christmas Bestiary,Martin H. Greenberg/Jack Nimersheim/Jane Yolen/Jack C. Haldeman II/Harry Turtledove/Laura Resnick/Mike Resnick/Karen Haber/Jane Lindskold/Lawrence Schimel/Barry N. Malzberg/Tanya Huff/Michelle Sagara West/Mark Aronson/Stefan R. Dziemianowicz/Jennifer Roberson/Kristine Kathryn Rusch/Elizabeth Ann Scarborough/Barbara Delaplace/Barb Jernigan/Blake Cahoon,1992,315,3.62
Black Cats and Broken Mirrors,John Helfers/Esther M. Friesner/Nina Kiriki Hoffman/Bruce Holland Rogers/Peter Crowther/R. Davis/Charles de Lint/Elizabeth Ann Scarborough/Michelle Sagara West/Nancy Springer/Dean Wesley Smith/Kristine Kathryn Rusch/Josepha Sherman/Jane Lindskold/Genevieve Gorman/Kristin Schwengel/Jean-François Podevin/Zane Stillings/Carol Rondou,1998,320,3.38
Time Twisters,Jean Rabe/Martin H. Greenberg/Stephen Leigh/Gene DeWeese/Joe Masdon/Donald J. Bingle/Skip Williams/Penny Williams/Pierce Askegren/Nancy Virginia Varian/Wes Nicholson/John Helfers/Chris Pierson/Harry Turtledove/Kevin J. Anderson/Robert E. Vardeman/Jackie Cassada/James M. Ward/Jon L. Breen/Linda P. Baker,2007,306,3.36
The Western Canon: The Books and School of the Ages,Harold Bloom,1995,546,3.86
Shakespeare: The Invention of the Human,Harold Bloom,1999,745,4.02
The American Religion,Harold Bloom,2006,305,3.76
American Caesar: Douglas MacArthur 1880-1964,William Manchester,1978,811,4.15
Winchester Shotguns,Dennis Adler/R.L. Wilson,2008,372,5.0
Colossians and Philemon: A Critical and Exegetical Commentary (International Critical Commentary),R. McL. Wilson,2005,512,5.0
Maurice Sendak's Seven Little Monsters: What Time is It? - Book #4,Arthur Yorinks/Raymond Jafelice,2004,24,2.75
Meditations for Manifesting: Morning and Evening Meditations to Literally Create Your Heart's Desire,Wayne W. Dyer,1995,1,4.02
There's a Spiritual Solution to Every Problem,Wayne W. Dyer,2001,288,4.27
Michael Smith Elements of Style,Michael S.  Smith/Diane Dorrans Saeks,2005,212,4.17
Spares,Michael Marshall Smith,1998,317,4.13
One of Us,Michael Marshall Smith,1999,368,4.04
The Secret City (Pyrates  #1),Chris Archer,2003,184,4.11
The Theory and Practice of Group Psychotherapy,Irvin D. Yalom/Molyn Leszcz,2005,688,4.17
When Nietzsche Wept,Irvin D. Yalom,2005,310,4.32
Existential Psychotherapy,Irvin D. Yalom,1980,544,4.39
Crown of Stars (Crown of Stars  #7),Kate Elliott,2007,609,3.91
Crown Duel (Crown & Court #1-2),Sherwood Smith,2002,471,4.19
A Rose for the Crown,Anne Easter Smith,2006,650,4.02
The Bloody Crown of Conan (Conan the Cimmerian  #2),Robert E. Howard/Gary Gianni/Patrice Louinet,2004,366,4.3
Rough Crossings: Britain  the Slaves and the American Revolution,Simon Schama,2006,496,3.98
Landscape and Memory,Simon Schama,1996,672,4.17
The Embarrassment of Riches: An Interpretation of Dutch Culture in the Golden Age,Simon Schama,1997,720,4.06
Citizens: A Chronicle of the French Revolution,Simon Schama,2004,825,3.99
The Feelings Book: The Care & Keeping of Your Emotions,Lynda Madison/Bonnie Timmons/Norm Bendell,2002,104,4.16
A Smart Girl's Guide to Money: How to Make It  Save It  And Spend It,Nancy Holyoke/Ali Douglass,2006,95,4.14
What Would You Do? (American Girl Library),Patti Kelley Criswell/Norm Bendell,2004,63,4.26
The Halloween Activity Book: Creepy  Crawly  Hairy  Scary Things to Do,Mymi Doinet/Benjamin Chaud,2002,32,2.0
The Capricorn Stone,Madeleine Brent,1983,346,3.91
Golden Urchin,Madeleine Brent,1987,384,4.09
The Ethics of Ambiguity,Simone de Beauvoir/Bernard Frechtman,2000,162,4.15
She Came to Stay,Simone de Beauvoir,1995,416,3.91
The Coming of Age,Simone de Beauvoir/Patrick O'Brian,1996,592,3.88
A Transatlantic Love Affair: Letters to Nelson Algren,Simone de Beauvoir/Nelson Algren/Sylvie Le Bon de Beauvoir/Vanessa Kling/Ellen Gordon Reeves,1999,560,4.01
La force de l'âge,Simone de Beauvoir,1986,786,4.15
What Life Was Like When Rome Ruled the World: The Roman Empire  100 BC - AD 200 (What Life Was Like),Time-Life Books,1999,192,3.85
Sudden Fiction International: 60 Short-Short Stories,Robert Shapard/James Thomas,1989,352,3.76
Sudden Fiction: American Short-Short Stories,Robert Shapard/James Thomas,1983,264,3.84
Sarah Bernhardt,Elizabeth Silverthorne/Betty McCollum,2004,136,4.25
The Art of Controversy (The Essays of Arthur Schopenhauer),Thomas Bailey Saunders,2004,76,3.85
The Wisdom of Life,Arthur Schopenhauer/Thomas Bailey Saunders,2004,96,4.14
For All Time (Time Travelers  #4),Caroline B. Cooney,2003,261,3.9
Wanted!,Caroline B. Cooney,1997,230,3.69
The Time Travelers: Volume One,Caroline B. Cooney,2006,420,3.94
The Stranger,Caroline B. Cooney,1993,198,3.53
Every Night Italian: Every Night Italian,Giuliano Hazan/Marcella Hazan/Dana Gallagher,2000,256,3.79
More Classic Italian Cooking,Marcella Hazan,1984,465,4.48
Practice Makes Perfect: Italian Verb Tenses,Paola Nanni-Tate,2005,252,4.0
Effigies (Faye Longchamp  #3),Mary Anna Evans,2007,301,4.03
The Cambridge Companion to Schopenhauer,Christopher Janaway,2000,494,3.83
Stormie: A Story of Forgiveness and Healing,Stormie Omartian,1997,192,4.4
The Orion Mystery: Unlocking the Secrets of the Pyramids,Robert Bauval/Adrian Geoffrey Gilbert,1995,352,3.94
Orion (Orion  #1),Ben Bova,1992,432,3.72
Lake Orion (Images of America: Michigan),James E. Ingram/Lori Grove,2006,128,4.5
Rick Steves' Europe Through the Back Door,Rick Steves,2017,808,4.24
A Dangerous Man (Hank Thompson  #3),Charlie Huston,2006,286,4.07
Already Dead (Joe Pitt  #1),Charlie Huston,2005,268,3.79
Caught Stealing (Hank Thompson  #1),Charlie Huston,2005,240,4.04
Ultimate Annuals  Volume 2,Charlie Huston/Mike Carey/Brian Michael Bendis/Robert Kirkman/Mike Deodato/Ryan Sook/Stuart Immonen/Frazier Irving,2007,160,3.21
Dead I Well May Be (Dead Trilogy #1),Adrian McKinty,2004,384,3.97
The Dead Yard (Michael Forsythe #2),Adrian McKinty,2006,364,4.12
The Lighthouse Land (Lighthouse Trilogy #1),Adrian McKinty,2006,387,3.6
Spider Mountain (Cam Richter  #2),P.T. Deutermann,2006,309,3.92
The Edge of Honor,P.T. Deutermann,1995,626,3.97
The Firefly,P.T. Deutermann,2004,528,3.77
Diary of a Spider,Doreen Cronin/Harry Bliss,2005,40,4.25
The Snow Spider (Snow Spider Trilogy  #1),Jenny Nimmo,2006,146,3.7
Ultimate Spider-Man  Volume 16: Deadpool,Brian Michael Bendis/Mark Bagley,2006,184,3.7
Ultimate Spider-Man  Volume 7,Brian Michael Bendis/Mark Bagley,2006,344,4.1
Fables: 1001 Nights of Snowfall,Bill Willingham/Esao Andrews/John Bolton/Mark Buckingham/James Jean/Derek Kirk Kim/Tara  McPherson/Jill Thompson/Mark Wheatley/Michael Wm. Kaluta/Charles Vess/Brian Bolland,2006,140,4.14
Cold Fire / Hideaway / The Key to Midnight,Dean Koontz/Leigh Nichols,2000,784,4.18
Fables  Vol. 8: Wolves,Bill Willingham/Mark Buckingham/Steve Leialoha/Shawn McManus/Andrew Pepoy,2006,160,4.27
Fables  Vol. 4: March of the Wooden Soldiers,Bill Willingham/Mark Buckingham/Craig Hamilton/Steve Leialoha/P. Craig Russell,2004,231,4.29
Fables  Vol. 1: Legends in Exile,Bill Willingham/Terry Moore/Mike Allred/Lan Medina/Mark Buckingham/Matthew Sturges/Steve Leialoha/Craig Hamilton/Russ Braun/James Jean/Tony Akins/Eric Shanower/Shawn McManus/Jae Lee/Chrissie Zullo/David Petersen,2002,128,3.97
Fables  Vol. 7: Arabian Nights (and Days),Bill Willingham/Mark Buckingham/Steve Leialoha/Jim Fern/Jimmy Palmiotti/Andrew Pepoy,2006,143,4.09
Fables  Vol. 6: Homelands,Bill Willingham/David Hahn/Mark Buckingham/Lan Medina/Steve Leialoha,2006,190,4.28
Fables  Vol. 3: Storybook Love,Bill Willingham/Bryan Talbot/Lan Medina/Mark Buckingham/Linda Medley/Steve Leialoha/James Jean,2004,190,4.13
Fables  Vol. 5: The Mean Seasons,Bill Willingham/Mark Buckingham/Steve Leialoha/Tony Akins/Jimmy Palmiotti,2005,166,4.19
The Choice: A Fable of Free Trade and Protectionism,Russell Roberts/Russ Roberts,2006,132,3.75
Brewer's Dictionary of Phrase and Fable,John Ayto,2006,1326,4.38
Jack of Fables  Vol. 1: The (Nearly) Great Escape,Bill Willingham/Matthew Sturges/Tony Akins/Andrew Pepoy,2007,128,3.58
Math Fables,Greg Tang/Heather Cahoon,1949,40,4.03
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,2002,227,4.04
Aesop's Fables,Aesop/Laura Harris/Laura Gibbs,2003,306,4.05
Icebound,David Axton/Dean Koontz/Paul Michael,2007,0,3.76
Odd Thomas (Odd Thomas #1),Dean Koontz/David Baker,2003,11,3.97
Seize the Night (Moonlight Bay  #2),Dean Koontz/Keith Szarabajka,1998,12,4.08
From the Corner of His Eye,Dean Koontz/Stephen Lang,2000,0,4.03
The Good Guy,Dean Koontz/Richard Ferrrone,2007,9,3.82
Pompeii,Robert   Harris/Michael Cumpsty,2006,0,3.82
3rd Degree,James Patterson/Andrew Gross/Carolyn McCormick,2004,7,4.02
2nd Chance (Women's Murder Club #2),James Patterson/Melissa Leo/Jeremy Piven/Andrew Gross,2006,5,4.04
The Big Bad Wolf,James Patterson/Peter J. Fernandez/Denis O'Hare,2003,8,3.99
Pop Goes the Weasel,James Patterson/Roger Rees/Keith David,2006,460,4.0
The Winds of War (The Henry Family  #1),Herman Wouk,2002,896,4.37
Hollywood Station (Hollywood Station  #1),Joseph Wambaugh,2007,340,3.73
The Choirboys,Joseph Wambaugh,2002,368,4.06
Fire Lover: A True Story,Joseph Wambaugh,2002,352,3.72
Floaters,Joseph Wambaugh,1997,291,3.52
The New Centurions,Joseph Wambaugh,1987,368,3.94
The Black Marble,Joseph Wambaugh,1998,416,3.83
The Secrets of Harry Bright,Joseph Wambaugh,1987,307,3.76
Lines and Shadows,Joseph Wambaugh,1995,416,3.8
Hollywood Tough (Shane Scully  #3),Stephen J. Cannell/Paul Michael/Michael Prichard,2003,10,3.86
Cold Hit (Shane Scully #5),Stephen J. Cannell/Scott Brick,2005,11,3.85
Trunk Music (Harry Bosch  #5; Harry Bosch Universe  #6),Michael Connelly/Dick Hill,2006,13,4.18
Angels Flight (Harry Bosch  #6),Michael Connelly/Dick Hill,2005,9,4.18
The Black Echo (Harry Bosch  #1; Harry Bosch Universe  #1),Michael Connelly/Dick Hill,2006,12,4.1
The Closers (Harry Bosch  #11; Harry Bosch Universe  #14),Michael Connelly/Len Cariou,2005,12,4.13
Echo Park (Harry Bosch  #12; Harry Bosch Universe  #16),Michael Connelly/Len Cariou,2006,11,4.12
The Poet (Jack McEvoy  #1; Harry Bosch Universe  #5),Michael Connelly/Buck Schirner,2006,15,4.2
The Concrete Blonde (Harry Bosch  #3),Michael Connelly/Dick Hill,2005,12,4.16
The Best American Mystery Stories 2003,Michael Connelly/Otto Penzler,2003,1,3.6
Hundred-Dollar Baby (Spenser  #34),Robert B. Parker/Joe Mantegna,2006,0,3.82
The Spenser Collection: Volume I (Spenser  #27-28),Robert B. Parker/Joe Mantegna,2006,0,4.26
School Days (Spenser  #33),Robert B. Parker/Joe Mantegna,2005,0,3.87
Potshot (Spenser  #28),Robert B. Parker/Joe Mantegna,2003,0,3.89
Chance (Spenser  #23),Robert B. Parker/Burt Reynolds,1996,4,4.1
The Accidental Time Machine,Joe Haldeman,2007,278,3.7
A Separate War and Other Stories,Joe Haldeman/Connie Willis,2006,270,3.68
The Forever War (The Forever War  #1),Joe Haldeman,2003,278,4.15
Worlds Enough and Time (Worlds #3),Joe Haldeman,1992,332,3.7
The Coming,Joe Haldeman,2001,278,3.09
Forever Peace (The Forever War  #2),Joe Haldeman,1998,351,3.74
Dealing in Futures,Joe Haldeman,1993,352,3.73
Study War No More: A Selection of Alternatives,Joe Haldeman/William Nabors/Harry Harrison/Damon Knight/Harlan Ellison/Ben Bova/Poul Anderson/Isaac Asimov/Mack Reynolds/Alec Effinger,1978,323,3.56
Not of Woman Born,Constance Ash/Nina Kiriki Hoffman/Patricia A. McKillip/Walter Jon Williams/Debra Doyle/James D. Macdonald/Kara Dalkey/Michael Armstrong/Richard Parks/Sage Walker/Susan Palwick/William F. Wu/Jack McDevitt/Janni Lee Simner/Robert Silverberg,1999,288,3.82
Worlds Apart (Worlds 2),Joe Haldeman,1992,227,3.69
Train_man  Volume 3 (Train_man),Hidenori Hara/Hitori Nakano,2007,200,3.94
The Best American Mystery Stories 2004,Nelson DeMille/Otto Penzler,2004,0,3.55
Mystic River,Dennis Lehane,2001,416,4.18
Mystic River,Dennis Lehane,2001,401,4.18
Coronado: Stories,Dennis Lehane,2006,240,3.38
Prayers for Rain (Kenzie & Gennaro  #5),Dennis Lehane,2000,375,4.09
A Drink Before the War (Kenzie & Gennaro  #1),Dennis Lehane,2003,282,3.95
Shutter Island,Dennis Lehane,2004,369,4.09
The Best American Mystery Stories 2002,James Ellroy/Otto Penzler/John Biguenet/Michael Connelly/Thomas H. Cook/Sean Doolittle/Brendan DuBois/David Edgerley Gates/Joe Gores/James Grady/Clark Howard/Stuart M. Kaminsky/Joe R. Lansdale/Michael Malone/Annette Meyers/Joyce Carol Oates/Robert B. Parker/F.X. Toole/Daniel Waterman/Scott Wolven/Fred Melton,2002,1,3.58
The Black Dahlia (L.A. Quartet  #1),James Ellroy,2006,348,3.75
The Black Dahlia Files: The Mob  the Mogul  and the Murder That Transfixed Los Angeles,Donald H. Wolfe,2006,448,3.84
Corroborating Evidence: The Black Dahlia Murder,William T. Rasmussen,2005,234,3.39
Childhood Shadows: The Hidden Story of the Black Dahlia Murder,Mary  Pacios,1999,292,3.5
Triptych (Will Trent  #1),Karin Slaughter,2006,393,4.13
Blindsighted (Grant County  #1),Karin Slaughter,2002,418,4.09
Kisscut (Grant County  #2),Karin Slaughter,2003,436,4.09
Beyond Reach (Grant County  #6),Karin Slaughter,2007,404,4.19
A Faint Cold Fear (Grant County  #3),Karin Slaughter,2004,422,4.08
Faithless (Grant County  #5),Karin Slaughter,2006,549,4.12
Like A Charm,Karin Slaughter/Peter Robinson/John Connolly/Denise Mina/Mark Billingham,2015,384,3.48
Like a Charm,Karin Slaughter/Denise Mina/John Harvey/Kelley Armstrong/John Connolly/Emma Donoghue/Jane Haddam/Laura Lippman/Peter Robinson/Fidelis Morgan/Peter Moore Smith/Lynda La Plante/Jerrilyn Farmer/Lee Child/Mark Billingham,2004,384,3.48
The Enemy (Jack Reacher  #8),Lee Child/Dick Hill,2004,14,4.16
The Visitor (Jack Reacher  #4),Lee Child/Hayward Morse/Garrick Hagon,2004,15,4.09
Tripwire (Jack Reacher  #3),Lee Child/Dick Hill,1999,3,4.09
Killing Floor (Jack Reacher  #1),Lee Child/Dick Hill,2004,3,4.05
Without Fail (Jack Reacher  #6),Lee Child/Dick Hill,2002,14,4.15
The Enemy (Jack Reacher  #8),Lee Child/Dick Hill,2004,14,4.16
One Shot (Jack Reacher  #9),Lee Child/Dick Hill,2005,12,4.21
Bad Luck and Trouble (Jack Reacher  #11),Lee Child,2007,13,4.18
The Enemy (Jack Reacher  #8),Lee Child,2007,6,4.16
The Visitor (Jack Reacher  #4),Lee Child/Hayward Morse,2002,14,4.09
Echo Burning (Jack Reacher  #5),Lee Child,2007,5,4.01
Tripwire (Jack Reacher  #3),Lee Child/Dick Hill,2004,14,4.09
The Enemy (Jack Reacher  #8),Lee Child/Dick Hill,2004,14,4.16
Tripwire (Jack Reacher  #3),Lee Child/Dick Hill,2004,14,4.09
Tripwire (Jack Reacher  #3),Lee Child/Dick Hill,2004,14,4.09
The Enemy (Jack Reacher  #8),Lee Child/Dick Hill,2004,14,4.16
Blood on the Moon: The Assassination of Abraham Lincoln,Edward Steers Jr.,2005,360,4.13
The Blood of the Moon: Understanding the Historic Struggle Between Islam and Western Civilization,George Grant,2001,224,3.69
Blood on the Moon (Lloyd Hopkins  #1),James Ellroy,2005,272,3.44
Blood Moon Over Bengal,Morag McKendrick Pippin,2004,337,3.47
Blood Moon Over Britain,Morag McKendrick Pippin,2005,323,3.44
The Silent Gondoliers,William Goldman,2001,128,3.81
The Season: A Candid Look at Broadway,William Goldman,2004,448,4.1
Heat,William Goldman,1986,244,3.37
Tinsel,William Goldman,1980,399,3.19
William Goldman: Four Screenplays,William Goldman,2000,504,4.29
The Princess Bride,William Goldman,2003,456,4.26
Hype and Glory,William Goldman/P. Gethers,1991,306,3.67
La princesa prometida,William Goldman,2005,480,4.26
Boys and Girls Together,William Goldman,2001,768,3.67
Wait Till Next Year: The Story of a Season When What Should've Happened Didn't  and What Could've Gone Wrong Did,William Goldman/Mike Lupica,1988,363,3.94
The Princess Bride: S. Morgenstern's Classic Tale of True Love and High Adventure,William Goldman,1973,283,4.26
Creepers,David Morrell,2005,388,3.66
The Totem,David Morrell,2003,448,3.58
The League of Night and Fog (Mortalis  #3),David Morrell,2003,448,4.1
Scavenger (Frank Balenger  #2),David Morrell,2007,368,3.6
The Fraternity of the Stone (Mortalis  #2),David Morrell,1992,448,4.16
The Brotherhood of the Rose (Mortalis  #1),David Morrell,1992,416,4.14
The Protector (Cavanaugh #1),David Morrell,2003,401,3.94
Assumed Identity,David Morrell,1994,512,3.78
Double Image,David Morrell,2002,510,3.55
La Cinquième profession,David Morrell,1992,539,3.99
The Last Kingdom (The Saxon Stories  #1),Bernard Cornwell/Jamie Glover,2006,6,4.25
The Last Kingdom (The Saxon Stories  #1),Bernard Cornwell/Tom Sellwood,2005,13,4.25
The Last Kingdom (The Saxon Stories  #1),Bernard Cornwell/Jamie Glover,2005,6,4.25
Time To Hunt (Bob Lee Swagger  #3),Stephen Hunter/Beau Bridges,1998,0,4.26
Black Light (Bob Lee Swagger  #2),Stephen Hunter/Beau Bridges,1996,4,4.13
The Day Before Midnight,Stephen Hunter/Philip Bosco,1989,0,4.01
Hot Springs (Earl Swagger  #1),Stephen Hunter/Jay O. Sanders,2000,0,4.13
Point Of Impact (Bob Lee Swagger  #1),Stephen Hunter/Beau Bridges,2007,0,4.27
Dirty White Boys,Stephen Hunter/Will Patten,2006,0,4.05
Bevor es Nacht wird. Ein Leben in Havanna,Reinaldo Arenas,2002,400,4.17
The Book of the Dead  (Pendergast  #7; Diogenes  #3),Douglas Preston/Lincoln Child/Scott Brick,2006,0,4.13
Relic (Pendergast #1),Douglas Preston/Lincoln Child,2007,473,4.02
The Wheel of Darkness (Pendergast  #8),Douglas Preston/Lincoln Child,2007,0,3.93
Tyrannosaur Canyon,Douglas Preston/Scott Sowers,2005,12,3.8
Waterworks,E.L. Doctorow/Sam Waterston,1994,0,3.44
The Devil in the White City: Murder  Magic  and Madness at the Fair That Changed America,Erik Larson/Tony Goldwyn,2003,447,3.99
King Icahn,Mark      Stevens/Carol Bloom Stevens,1993,336,3.97
The Sicilian,Mario Puzo,2001,416,3.97
